sku,name,family,role,category,reason
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"AMP-260-DNT","Advanced 2 or 4 Channel Dante Amplifier - WyreStorm","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"APO-100-UC","Apollo Series Conference Speakerphone - WyreStorm","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-200-UC","Apollo Series Conference Speakerphone & Switcher - WyreStorm","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-COM-MIC","Add-On Microphone for Apollo Video Bar - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-DG-DOCK","Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG-HDMI","HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2","Apollo USB-C Wireless Casting Dongle - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2-PRO","Apollo USB-C Wireless Casting Dongle - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-MIC-EXT","USB Extender for Apollo Add-On Mic - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-SKY-MIC","Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-VX20-MNT","Display Mount for Apollo VX20 Video Bars - WyreStorm","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"APO-VX20-UC-V2","Video Bar for Conference Rooms: Advanced Meeting Solution","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"CAB-DAOC-10-C","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-DAOC-10-P","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-C","Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-C","Active Optical HDMI Cable | 4K HDR| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-P","Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-XX","8K HDMI Cable - CAB‑HAOC‑FRL‑XX HDMI 2.1 Bandwidth 48Gbps | WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-IR-LINK","IR Link Cable for Control System Integration - WyreStorm","Cable","Cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-C","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-P","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-USBC-10","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-15","USB-C Active Optical Cable (15m/49ft) - WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","Camera","Camera bridge","Camera / capture","CAM SKU prefix"
"CAM-0402-NDI-BRG","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","Camera","NDI camera / bridge","Camera / capture","CAM SKU prefix"
"CAM-200-PTZ","1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm","Camera","PTZ camera","Camera / capture","CAM SKU prefix"
"CAM-210-NDI-PTZ","CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm","Camera","NDI camera / bridge","Camera / capture","CAM SKU prefix"
"CAM-210-PTZ","PTZ Camera with AI Tracking | CAM-210-PTZ 1080p – WyreStorm","Camera","PTZ camera","Camera / capture","CAM SKU prefix"
"CAM-420-PTZ","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","Camera","PTZ camera","Camera / capture","CAM SKU prefix"
"COM-MIC-HUB","Microphone Hub - WyreStorm","Unclassified","Product","General AV","No confident SKU rule matched"
"NHD-100","Companion Control App for NetworkHD 100, 400, 500 & 600 Series - WyreStorm","NetworkHD","NetworkHD AV-over-IP product","AV-over-IP","NHD SKU fallback"
"EX-100-G2","4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-H2","100m 4K HDBaseT Extender with USB - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-H2-EARC","100m 4K60 AVX Extender with eARC - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-IW-USBC","100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM","WyreStorm EX-100-KVM 4K HDMI & USB KVM Extender over HDBaseT","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM-8K","100m HDMI 2.1 8K HDBaseT Extender with RS-232 Passthrough, Audio De-embed and USB 2.0 Extension - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM-IP","4K 30Hz KVM Extender over IP | EX-100-KVM-IP - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-USB3","USB 3.0 Extender | EX-100-USB3 Gen 1 Standard - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-8K","35m HDMI 2.1 8K HDBaseT Extender with IR/RS-232 Passthrough, Audio De-embed, and Bi-directional PoH - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2","35m 4K60 HDBaseT Extender - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2-ARC","ARC HDMI Extender - EX-35-H2-ARC 18Gbps 4K HDR HDBaseT Extender - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-G3","40m 1080p UTP Extender - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-H2-ARC","40m 4K HDBaseT Extender with ARC and Audio Breakout - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-KVM-5K","5K30Hz HDBT 3.0 Box to Box Extender Kit - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-60-USB2","EX-60-USB2 USB 2.0 Extender over Cat6 with 4-Port Hub","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-G2","EX-70-G2 4K HDBaseT Extender Set with HDCP 2.2 & 2-way PoH - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-H2","4K HDBaseT Extender – High-Quality Video and Audio Transmission","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-H2C","EX-70-H2C 70m 4K HDMI Extender over Cat6 with ARC","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-H2X","70m 4K60 HDBaseT Extender with Ethernet - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX3-100-EARC","WyreStorm EX3-100-EARC 4K60 HDbaseT 3.0 Extender with eARC","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"CAB-HAOC-2","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-4","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-6","24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-8","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-USBC-5M","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-XM","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"EX-35-G2","WyreStorm Essentials? 35m 4K60 UTP Extender| WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-80-KVM","WyreStorm Essentials 80m KVM UTP Extender - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EXP-MX-0402-H2","WyreStorm Essentials 4K60 4x2 HDMI Matrix Switcher - WyreStorm","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"EXP-MX-0404-H2","WyreStorm Essentials 4 Input and 4 Scaling Output 4K HDR HDMI Matrix Switcher W/ Digital S/PDIF Audio De-Embed - WyreStorm","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"EXP-MX-0808-KIT","4K 8x8 HDBaseT Matrix with Receivers - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"SW-0401-H2","WyreStorm Essentials 4K60 4x1 HDMI Switcher - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-0X01-8K","WyreStorm Essentials 8K60 HDMI Switcher - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"HALO-30","Halo 30 Professional USB Conference Speakerphone | WyreStorm","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-60","USB Bluetooth Speakerphone by Wyrestom","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-80","Plug and Play Portable USB and Bluetooth Conference Speakerphone - WyreStorm","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-90","WyreStorm Halo 90 USB-C Docking Conference Speakerphone","HALO","HALO conferencing audio product","Audio / UC","HALO SKU prefix"
"HALO-COM-MIC","Add-On Microphone for Halo Video Bar - WyreStorm","HALO","HALO microphone accessory","Audio / UC","HALO SKU prefix"
"HALO-VX10-V1","WyreStorm Video Bar w/ 4K Camera, Stereo Speaker & Mic","HALO","HALO microphone accessory","Audio / UC","HALO SKU prefix"
"HALO-WFA-130","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera","USB webcam","Camera / capture","HALO-WFA webcam SKU"
"HALO-WFA-290","1080P HD Webcam - Business USB Webcam w/ Mic | WyreStorm FOCUS 100 Webcam","Camera","USB webcam","Camera / capture","HALO-WFA webcam SKU"
"IDB-200-XX","Compact In-Desk Connectivity with Power - WyreStorm","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS","Flip Up In-Desk Connectivity with Power - WyreStorm","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-MS-C","Flip Up In-Desk Connectivity with Power - WyreStorm","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-NA","Flip Up In-Desk Connectivity with Power - WyreStorm","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"M4250-GSM4212PX-10P","Netgear Pre-configured 1GbE 10-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm","Network Switch","Pre-configured AV network switch","Network infrastructure","Netgear AV switch SKU"
"M4250-GSM4230PX-26P","Netgear Pre-configured 1GbE 26-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm","Network Switch","Pre-configured AV network switch","Network infrastructure","Netgear AV switch SKU"
"M4250-GSM4248PX-40P","Netgear Pre-configured 1GbE 48-port Switch with 1G/10G Uplinks for use with NetworkHD 100, 400 & 500 Series - WyreStorm","Network Switch","Pre-configured AV network switch","Network infrastructure","Netgear AV switch SKU"
"M4300-XSM4316PA-16X","Netgear Pre-configured 10GbE 16-port Switch for use with NetworkHD 600 Series - WyreStorm","Network Switch","Pre-configured AV network switch","Network infrastructure","Netgear AV switch SKU"
"M4300-XSM4324CS-24X","Netgear Pre-configured 10GbE 24-port Switch for use with NetworkHD 600 Series - WyreStorm","Network Switch","Pre-configured AV network switch","Network infrastructure","Netgear AV switch SKU"
"MX-0402-MST","Video Conferencing Equipment for Seamless Communication","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0403-H3-MST","4x3 Multi-Input Conference Room Switcher with Advanced USB-C Integration & HDBT 3.0 Output - WyreStorm","Presentation Switcher","Dual-display presentation room core","Presentation switching","MST presentation switcher SKU"
"MX-0404-HDBT-H2A-KIT","4K 4x4 HDBaseT Matrix with Receivers - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0404-HDMI","WyreStorm MX-0404-HDMI 4×4 4K Matrix Switcher – 18Gbps HDMI","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0404-KIT","4K 4x4 HDBaseT Matrix with Receiver - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0404-SCL","WyreStorm MX-0404-SCL 4x4 Seamless 4K60 HDMI Matrix Switcher with Scaling","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0804-EDC","WyreStorm MX-0804-EDC 8x4 Seamless Matrix Switch with USB-C & Dante","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-0808-H2A-MK2","8x8 HDMI Matrix – Seamless Video Switching for Multiple Displays","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-KIT-V2","8x8 4K UHD HDBaseT Matrix Kit - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-0808-SCL","4K60 8x8 Seamless Scaling HDMI Matrix with USB-C Support - WyreStorm","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-0808-SCL-V2","4K60 8x8 Seamless Scaling HDMI Matrix with USB-C Support v2 - WyreStorm","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
